Time (s),impedance_change_speed_ohm_per_s
12.843164,5036.968982
12.959966,18267.214736
13.043471,39349.259948
13.160250,44034.538577
13.277637,19185.179547
13.338197,15112.328529
13.454109,684.808563
13.571466,-1392.401609
13.627948,-965.714179
13.777392,190.747838
13.894190,-12.738406
13.921234,-193.149805
14.037644,127.834675
14.154887,105.797103
14.244596,-2445.784159
14.361424,-10787.038948
14.478215,-22747.771595
14.594793,-26282.495758
14.621515,-27133.795209
14.795477,-13057.476699
14.911727,-2397.563422
14.945334,-527.873365
15.145465,5161.004086
15.145816,5812.826446
15.329092,4637.192419
15.412707,7487.565146
15.445649,12267.261285
15.562540,32074.775182
15.679651,25544.378619
15.706731,23857.441128
15.823482,12863.657349
15.996907,-2243.241423
16.029759,-6087.289401
16.146413,-19008.199416
16.263221,-25169.128479
16.347112,-21641.105103
16.480135,-9896.213402
16.647574,-4810.714718
16.697025,-2040.715641
16.797245,2349.527672
16.876130,4479.559606
16.947725,9195.142854
17.097573,7733.089023
17.175670,10882.490303
17.231498,16143.760140
17.347687,18814.020742
17.497764,11227.925231
17.525165,10045.137092
17.642054,2602.317557
17.758180,-684.527499
17.848422,-2963.235557
18.009453,-11318.725951
18.082271,-22313.569221
18.159056,-28878.668086
18.265093,-25896.426093
18.398766,-16479.528766
18.426152,-5936.653373
18.542613,2300.705019
18.675902,9396.985381
18.732392,9304.208702
18.866139,6281.961370
18.999330,6555.665826
19.049285,8819.551791
19.199467,13903.593015
19.282801,16246.008194
19.343023,16237.414021
19.460319,9824.075465
19.577271,3931.255521
19.633295,-5881.650935
19.766735,-22371.461073
19.900183,-24174.786244
19.933537,-24585.014807
20.050268,-16462.289476
20.167234,-8151.026684
20.250506,-4174.831905
20.367181,5273.988513
20.545221,7448.109080
20.545381,8919.077965
20.660705,11781.370467
20.777699,19785.207054
20.834532,22738.324645
20.951242,19099.166426
21.101501,8504.884800
21.180569,3077.931115
21.301704,-609.176000
21.384878,-8435.432687
21.418232,-12127.743179
21.568389,-21073.508029
21.682486,-25807.042605
21.735424,-25161.829206
21.868779,-14232.760602
22.019568,-5424.104963
22.069051,-4585.667518
22.169320,2339.628282
22.319856,10187.526921
22.369334,12294.092662
22.452741,15008.141058
22.569559,20427.439422
22.686890,19388.679319
22.746763,18695.687364
22.863615,14439.992293
22.953084,11182.322076
23.069953,2805.848087
23.186778,-9654.794774
23.213912,-12924.044287
23.330689,-21990.893478
23.447500,-25097.429918
23.537350,-21535.228836
23.654201,-10909.732908
23.771087,-6109.401121
23.854270,-1269.780246
23.970921,7241.939117
24.087710,11405.363719
24.120890,15477.388608
24.265507,32803.532510
24.382144,31903.508129
24.438055,25669.763516
24.571362,2499.103224
24.705076,-116.391620
24.755034,-89.403669
24.888329,185.726744
24.988638,-2306.438244
25.067547,-4847.501596
25.189120,-13387.181362
25.334130,-14208.567587
25.334299,-15598.375482
25.450097,-17431.747951
25.567705,-15670.128995
25.655995,-8646.337955
25.772670,6701.413809
25.889550,12275.598423
25.917508,14754.153279
26.033952,20489.919095
26.151289,23829.625629
26.239691,21282.589094
26.389936,3211.537071
26.551845,-4094.416990
26.551992,-4019.520588
26.640189,-1299.910419
26.840420,-2716.791746
26.840728,-6693.690743
26.957838,-11937.071599
27.074075,-25713.144886
27.135916,-22029.516820
27.252165,-11219.847559
27.369095,5026.693229
27.457697,7784.655169
27.574475,11962.732510
27.691265,15313.584130
27.718489,19978.109778
27.834917,18897.731454
27.969624,10712.109147
28.041663,326.450249
28.192391,-3517.896129
28.270225,-1502.105377
28.341950,-1669.641029
28.475968,-5214.539592
28.592085,-7997.923120
28.625660,-12779.446321
28.742324,-21060.758012
28.859178,-15504.632627
28.942536,-7369.850585
29.060146,5039.509746
29.176124,5790.255103
29.236484,6553.835323
29.353403,11355.259251
29.470571,16710.563942
29.526467,15612.497490
29.676601,6258.325989
29.810023,415.767295
29.837069,379.465834
29.987419,886.844060
30.093697,198.430732
30.121043,391.294433
30.327908,911.842578
30.405455,1322.418340
30.494886,1361.632175
30.578150,978.989734
30.694417,1796.416764
30.727792,2158.410494
30.844514,2638.864570
30.994571,650.983576
31.021893,-1679.991817
31.156297,-7914.214187
31.274996,-16561.303252
31.328240,-29443.882598
31.462355,-51904.527915
31.612053,-41627.943291
31.662071,-36727.656725
31.762766,-11390.050746
31.895593,4441.138051
31.945350,4872.375594
32.079057,7567.487293
32.195844,8133.346701
32.223891,8724.447034
32.340358,8090.077254
32.456767,4226.161362
32.546483,-334.710481
32.662986,-4740.412173
32.779641,-5454.023768
32.806817,-6620.924707
32.924955,-6457.271445
33.096794,-2037.799495
33.130127,-1263.128676
33.253110,1006.332962
33.363600,-172.029869
33.447658,-705.339557
33.563926,-1776.796560
33.741262,-1555.711385
33.741417,-1634.909246
33.857708,-1072.755110
34.048320,-343.773893
34.048687,-1042.511928
34.181460,-4176.852050
34.242310,-4935.223724
34.364782,-5725.738555
34.464801,-1898.658272
34.614962,-758.177496
34.665100,-200.442617
34.749216,-146.595746
34.881975,436.806570
34.959423,334.732873
35.065221,1114.076152
35.181956,3565.790479
35.208961,4387.484990
35.415968,4150.558935
35.443688,4270.252473
35.532509,2446.662735
35.649304,16586.975317
35.766129,33234.447547
35.850087,54305.179376
35.966270,42988.269492
36.083113,16030.941376
36.199781,4530.753016
36.259526,3396.619600
36.376591,1029.023189
36.434328,405.690250
36.550498,-6846.984746
36.667233,-48733.767118
36.727291,-68066.627033
36.843935,-71655.124301
36.977385,1143.728535
37.035086,9663.206311
37.167529,24457.972570
37.350879,4953.281764
37.351115,6268.689346
37.484446,28122.055631
37.568408,65900.208098
37.628635,57296.043222
37.818631,12755.804724
37.895464,-1963.557334
37.951527,-1672.984433
38.085577,1.677366
38.166947,622.579283
38.251869,-9782.199054
38.368547,-74815.152088
38.485437,-73236.348380
38.512647,-75127.490918
38.645813,-30945.754877
38.778945,33651.220975
38.835758,28394.213237
38.969527,6126.199338
39.085985,1960.782187
39.119337,13281.103377
39.263376,51734.971598
39.379452,48161.303532
39.436474,39260.389356
39.553236,2153.698551
39.669976,-780.572877
39.730751,394.174929
39.846536,1441.966649
39.963889,-3878.389773
40.080312,-31966.255844
40.170446,-71127.033202
40.303829,-62951.214555
40.331720,-46500.319118
40.448111,-7615.743477
40.564339,15478.206184
40.654143,9882.467526
40.771159,2879.649442
40.888002,3211.828026
40.915397,4324.321075
41.032422,12259.432942
41.149021,37478.039896
41.238136,49391.011523
41.419064,27672.599592
41.489028,5795.458674
41.638690,-6456.986210
41.688682,-6133.896295
41.772424,-5667.259294
41.834706,-6164.655974
41.950497,-5254.417461
42.066865,-4978.690044
42.155779,-5858.504483
42.272404,-9959.962663
42.389038,-22006.820387
42.417150,-48323.693736
42.533016,-75823.788863
42.678642,-63915.508414
42.772990,-44502.963245
42.873190,-395.904398
43.007328,6011.178258
43.084164,1822.771304
43.174001,-399.042153
43.290013,-290.386762
43.317904,5493.861824
43.434450,30736.007047
43.551483,71544.972005
43.640821,86084.504347
43.757361,53021.092829
43.874106,10697.841460
43.957501,1360.116735
44.074328,-5040.230848
44.191677,-12839.380519
44.224439,-32424.996446
44.341181,-70847.723237
44.485322,-87271.945208
44.541437,-72285.915811
44.691850,-6544.198208
44.768478,8274.432929
44.825805,9455.864753
44.958609,7021.485953
45.092778,-1184.761442
45.125697,-1325.476392
45.242177,18037.857653
45.358909,81640.209794
45.442389,85387.088615
45.559104,72501.987549
45.676643,21630.545787
45.736458,15253.272095
45.852430,-10890.579468
45.969522,-31066.295968
46.086491,-65149.173796
46.176444,-77902.202815
46.293107,-41387.201989
46.324731,-24384.530864
46.441527,23392.167187
46.556680,28355.701065
46.643648,22434.516364
46.760400,15625.708755
46.877197,3299.511656
46.906024,-508.319826
47.077392,-14535.439408
47.194710,-14006.180244
47.227554,-15469.163784
47.360880,8521.906969
47.477776,52348.142566
47.505877,57114.702929
47.639120,46076.344813
47.773369,8767.048225
47.844695,5182.587122
47.978090,-6228.742058
48.112502,-13364.611409
48.144925,-18702.667348
48.261854,-58988.365486
48.378513,-61516.836995
48.406432,-46380.903664
48.523038,-10581.138302
48.696221,39628.900518
48.728928,39123.101052
48.845668,27013.525081
48.962503,14512.163946
49.045745,11324.891781
49.162709,-6079.550559
49.280096,-32326.792467
49.340061,-36870.077544
49.456567,-33892.644805
49.573606,27740.882862
49.629933,44685.609727
49.763468,63770.184770
49.896771,21881.395663
49.946757,17763.576290
50.080237,969.367530
50.213818,-808.993858
50.313836,-3288.983754
50.390831,-8893.723575
50.480719,-16742.672505
50.508194,-28852.282789
50.624608,-58834.219394
50.864350,-22507.960010
50.864657,-11194.804884
50.964756,42525.523240
51.098701,61783.675157
51.147948,53022.053097
51.281443,16162.276590
51.398759,1051.425848
51.478252,318.082906
51.598471,-4995.830292
51.699286,-10100.167839
51.777883,-14532.541204
51.865388,-31229.894636
52.099026,-39746.918895
52.099459,-15155.386259
52.127007,-847.222837
52.243946,30458.440865
52.332508,44229.199423
52.465943,27854.182728
52.643729,1127.404061
52.643887,1167.802021
52.776686,838.996216
52.949770,126.872642
52.950082,51.344213
53.066683,15.984921
53.183428,636.431059
53.243736,419.409513
53.361472,-989.784194
53.477614,-3465.553442
53.533751,-5435.844838
53.650614,-6870.735296
53.767301,-5512.639720
53.827279,-10860.422836
